981c026156904ab09124ecf24f22f308;3;V1;Did you see any errors in the caption?;2. No;captions/v1_sports_4.vtt
981c026156904ab09124ecf24f22f308;5;V1;How would you rate the quality of the caption?;5. Strongly satisfied;captions/v1_sports_4.vtt
981c026156904ab09124ecf24f22f308;7;V2;Did you see any errors in the caption?;1. Yes;captions/v2_sports_21.vtt
981c026156904ab09124ecf24f22f308;9;V2;How would you rate the quality of the caption?;2. Dissatisfied;captions/v2_sports_21.vtt
981c026156904ab09124ecf24f22f308;11;V3;Did you see any errors in the caption?;2. No;captions/v3_sports_12.vtt
981c026156904ab09124ecf24f22f308;13;V3;How would you rate the quality of the caption?;5. Strongly satisfied;captions/v3_sports_12.vtt
981c026156904ab09124ecf24f22f308;15;V4;Did you see any errors in the caption?;1. Yes;captions/v4_hockey_20.vtt
981c026156904ab09124ecf24f22f308;17;V4;How would you rate the quality of the caption?;5. Strongly satisfied;captions/v4_hockey_20.vtt
981c026156904ab09124ecf24f22f308;19;V5;Did you see any errors in the caption?;1. Yes;captions/v5_hockey_8.vtt
981c026156904ab09124ecf24f22f308;21;V5;How would you rate the quality of the caption?;4. Satisfied;captions/v5_hockey_8.vtt
981c026156904ab09124ecf24f22f308;23;V6;Did you see any errors in the caption?;1. Yes;captions/v6_hockey_1.vtt
981c026156904ab09124ecf24f22f308;25;V6;How would you rate the quality of the caption?;3. Neither satisfied nor dissatisfied;captions/v6_hockey_1.vtt
981c026156904ab09124ecf24f22f308;27;V7;Did you see any errors in the caption?;2. No;captions/v7_weather_10.vtt
981c026156904ab09124ecf24f22f308;29;V7;How would you rate the quality of the caption?;5. Strongly satisfied;captions/v7_weather_10.vtt
981c026156904ab09124ecf24f22f308;31;V8;Did you see any errors in the caption?;2. No;captions/v8_weather_18.vtt
981c026156904ab09124ecf24f22f308;33;V8;How would you rate the quality of the caption?;5. Strongly satisfied;captions/v8_weather_18.vtt
981c026156904ab09124ecf24f22f308;35;V9;Did you see any errors in the caption?;2. No;captions/v9_weather_15.vtt
981c026156904ab09124ecf24f22f308;37;V9;How would you rate the quality of the caption?;5. Strongly satisfied;captions/v9_weather_15.vtt
981c026156904ab09124ecf24f22f308;39;V10;Did you see any errors in the caption?;2. No;captions/v10_social_6.vtt
981c026156904ab09124ecf24f22f308;41;V10;How would you rate the quality of the caption?;5. Strongly satisfied;captions/v10_social_6.vtt
981c026156904ab09124ecf24f22f308;52;V11;Did you see any errors in the caption?;2. No;captions/v11_social_9.vtt
981c026156904ab09124ecf24f22f308;54;V11;How would you rate the quality of the caption?;4. Satisfied;captions/v11_social_9.vtt
981c026156904ab09124ecf24f22f308;56;V12;Did you see any errors in the caption?;2. No;captions/v12_social_16.vtt
981c026156904ab09124ecf24f22f308;58;V12;How would you rate the quality of the caption?;5. Strongly satisfied;captions/v12_social_16.vtt
981c026156904ab09124ecf24f22f308;60;V13;Did you see any errors in the caption?;1. Yes;captions/v13_weather_2.vtt
981c026156904ab09124ecf24f22f308;62;V13;How would you rate the quality of the caption?;1. Strongly dissatisfied;captions/v13_weather_2.vtt
981c026156904ab09124ecf24f22f308;64;V14;Did you see any errors in the caption?;2. No;captions/v14_weather_22.vtt
981c026156904ab09124ecf24f22f308;66;V14;How would you rate the quality of the caption?;5. Strongly satisfied;captions/v14_weather_22.vtt
981c026156904ab09124ecf24f22f308;68;V15;Did you see any errors in the caption?;1. Yes;captions/v15_weather_14.vtt
981c026156904ab09124ecf24f22f308;70;V15;How would you rate the quality of the caption?;4. Satisfied;captions/v15_weather_14.vtt
981c026156904ab09124ecf24f22f308;72;V16;Did you see any errors in the caption?;2. No;captions/v16_weather_17.vtt
981c026156904ab09124ecf24f22f308;74;V16;How would you rate the quality of the caption?;5. Strongly satisfied;captions/v16_weather_17.vtt
981c026156904ab09124ecf24f22f308;76;V17;Did you see any errors in the caption?;2. No;captions/v17_weather_3.vtt
981c026156904ab09124ecf24f22f308;78;V17;How would you rate the quality of the caption?;5. Strongly satisfied;captions/v17_weather_3.vtt
981c026156904ab09124ecf24f22f308;80;V18;Did you see any errors in the caption?;2. No;captions/v18_weather_11.vtt
981c026156904ab09124ecf24f22f308;82;V18;How would you rate the quality of the caption?;4. Satisfied;captions/v18_weather_11.vtt
981c026156904ab09124ecf24f22f308;84;V19;Did you see any errors in the caption?;2. No;captions/v19_weather_7.vtt
981c026156904ab09124ecf24f22f308;86;V19;How would you rate the quality of the caption?;5. Strongly satisfied;captions/v19_weather_7.vtt
981c026156904ab09124ecf24f22f308;88;V20;Did you see any errors in the caption?;2. No;captions/v20_weather_13.vtt
981c026156904ab09124ecf24f22f308;90;V20;How would you rate the quality of the caption?;4. Satisfied;captions/v20_weather_13.vtt
981c026156904ab09124ecf24f22f308;92;V21;Did you see any errors in the caption?;2. No;captions/v21_weather_19.vtt
981c026156904ab09124ecf24f22f308;94;V21;How would you rate the quality of the caption?;5. Strongly satisfied;captions/v21_weather_19.vtt
981c026156904ab09124ecf24f22f308;96;V22;Did you see any errors in the caption?;1. Yes;captions/v22_weather_5.vtt
981c026156904ab09124ecf24f22f308;98;V22;How would you rate the quality of the caption?;1. Strongly dissatisfied;captions/v22_weather_5.vtt
66e402d9d26542a39eb5242b76f96740;3;V1;Did you see any errors in the caption?;2. No;captions/v1_sports_11.vtt
66e402d9d26542a39eb5242b76f96740;5;V1;How would you rate the quality of the caption?;4. Satisfied;captions/v1_sports_11.vtt
66e402d9d26542a39eb5242b76f96740;7;V2;Did you see any errors in the caption?;2. No;captions/v2_sports_19.vtt
66e402d9d26542a39eb5242b76f96740;9;V2;How would you rate the quality of the caption?;4. Satisfied;captions/v2_sports_19.vtt
66e402d9d26542a39eb5242b76f96740;11;V3;Did you see any errors in the caption?;2. No;captions/v3_sports_1.vtt
66e402d9d26542a39eb5242b76f96740;13;V3;How would you rate the quality of the caption?;5. Strongly satisfied;captions/v3_sports_1.vtt
66e402d9d26542a39eb5242b76f96740;15;V4;Did you see any errors in the caption?;2. No;captions/v4_hockey_6.vtt
66e402d9d26542a39eb5242b76f96740;17;V4;How would you rate the quality of the caption?;4. Satisfied;captions/v4_hockey_6.vtt
66e402d9d26542a39eb5242b76f96740;19;V5;Did you see any errors in the caption?;2. No;captions/v5_hockey_8.vtt
66e402d9d26542a39eb5242b76f96740;21;V5;How would you rate the quality of the caption?;4. Satisfied;captions/v5_hockey_8.vtt
66e402d9d26542a39eb5242b76f96740;23;V6;Did you see any errors in the caption?;2. No;captions/v6_hockey_16.vtt
66e402d9d26542a39eb5242b76f96740;25;V6;How would you rate the quality of the caption?;4. Satisfied;captions/v6_hockey_16.vtt
66e402d9d26542a39eb5242b76f96740;27;V7;Did you see any errors in the caption?;2. No;captions/v7_weather_2.vtt
66e402d9d26542a39eb5242b76f96740;29;V7;How would you rate the quality of the caption?;4. Satisfied;captions/v7_weather_2.vtt
66e402d9d26542a39eb5242b76f96740;31;V8;Did you see any errors in the caption?;2. No;captions/v8_weather_14.vtt
66e402d9d26542a39eb5242b76f96740;33;V8;How would you rate the quality of the caption?;5. Strongly satisfied;captions/v8_weather_14.vtt
66e402d9d26542a39eb5242b76f96740;35;V9;Did you see any errors in the caption?;2. No;captions/v9_weather_17.vtt
66e402d9d26542a39eb5242b76f96740;37;V9;How would you rate the quality of the caption?;4. Satisfied;captions/v9_weather_17.vtt
66e402d9d26542a39eb5242b76f96740;39;V10;Did you see any errors in the caption?;1. Yes;captions/v10_social_4.vtt
66e402d9d26542a39eb5242b76f96740;41;V10;How would you rate the quality of the caption?;3. Neither satisfied nor dissatisfied;captions/v10_social_4.vtt
66e402d9d26542a39eb5242b76f96740;52;V11;Did you see any errors in the caption?;1. Yes;captions/v11_social_15.vtt
66e402d9d26542a39eb5242b76f96740;54;V11;How would you rate the quality of the caption?;3. Neither satisfied nor dissatisfied;captions/v11_social_15.vtt
